,mean,std,2.5q,25q,50q,75q,97.5q,mc err
v_Intercept,-1.133985567,0.130085335,-1.396460057,-1.21964649,-1.134341098,-1.04799675,-0.879316885,0.003106316
v_Intercept_std,0.760580608,0.107529805,0.575853545,0.685634333,0.750343378,0.821261679,1.001156656,0.002853573
v_Intercept_subj.101,-0.799211667,0.167344689,-1.125609204,-0.912305251,-0.800394316,-0.686245544,-0.469237577,0.004813832
v_Intercept_subj.102,-1.231047259,0.170230753,-1.561179086,-1.345604666,-1.234243907,-1.122014841,-0.881762315,0.003970805
v_Intercept_subj.103,-1.103094418,0.171699255,-1.454312825,-1.213656879,-1.101373086,-0.986624399,-0.761003964,0.004195707
v_Intercept_subj.105,-0.900562664,0.176485824,-1.256236367,-1.01885322,-0.90582256,-0.783460426,-0.554104254,0.004324148
v_Intercept_subj.106,-1.158891509,0.175774616,-1.518114574,-1.269024065,-1.15510345,-1.038889032,-0.824597772,0.004699404
v_Intercept_subj.107,-1.340833128,0.203002111,-1.743915812,-1.47941585,-1.343854853,-1.203003219,-0.931078364,0.006059377
v_Intercept_subj.108,-0.951836049,0.159534316,-1.268818705,-1.055443292,-0.950114267,-0.846796982,-0.649527861,0.004298727
v_Intercept_subj.109,-3.694982306,0.330126783,-4.343584327,-3.917551675,-3.689341953,-3.471804901,-3.042967491,0.013073551
v_Intercept_subj.110,-1.361418895,0.21173989,-1.794806141,-1.50527438,-1.35815482,-1.220857388,-0.952956592,0.006981385
v_former_diff,0.216378566,0.037878702,0.142554437,0.190826709,0.215804433,0.241651826,0.292287675,0.000877908
v_former_diff_std,0.207236577,0.033042989,0.151707176,0.183645451,0.204574406,0.226271712,0.282435493,0.001093129
v_former_diff_subj.101,0.145377915,0.062029229,0.024807537,0.103889687,0.145465519,0.184567397,0.269460682,0.001593025
v_former_diff_subj.102,0.290009888,0.065159438,0.166040963,0.244813771,0.288031916,0.334997247,0.420463683,0.001962925
v_former_diff_subj.103,0.265897597,0.068646682,0.131522424,0.221179422,0.263989463,0.310700462,0.40474822,0.00180298
v_former_diff_subj.105,0.180370893,0.06912636,0.049643176,0.133343269,0.180356425,0.226303471,0.316381362,0.001691612
v_former_diff_subj.106,0.285006401,0.070226996,0.150941809,0.23661975,0.284119306,0.331949739,0.42625812,0.002057454
v_former_diff_subj.107,0.29819336,0.071545674,0.161806571,0.250742702,0.29717461,0.345556817,0.440417383,0.001802192
v_former_diff_subj.108,0.100611418,0.069832526,-0.042852491,0.056119317,0.102605527,0.149671175,0.228758213,0.001680583
v_former_diff_subj.109,0.109887379,0.079326461,-0.057939335,0.059951346,0.111239593,0.164645347,0.257707113,0.001743399
v_former_diff_subj.110,0.195940181,0.072897554,0.047295824,0.150665756,0.195895659,0.24494956,0.34196167,0.001686675
v_ses,0.051271758,0.02743396,-0.003451511,0.033308482,0.051349847,0.069322165,0.105068242,0.000753404
v_ses_std,0.132954508,0.025626768,0.090893118,0.115046657,0.130919166,0.14837253,0.192133006,0.000878661
v_ses_subj.101,-0.008168885,0.05784439,-0.126956495,-0.047281505,-0.009022571,0.029126194,0.110170476,0.001509456
v_ses_subj.102,0.1359448,0.06270322,0.012537928,0.092960816,0.136644217,0.17946393,0.261860589,0.001551941
v_ses_subj.103,0.033194389,0.068381944,-0.104100774,-0.009005755,0.034210562,0.077747899,0.170690985,0.001854702
v_ses_subj.105,0.062630569,0.0612608,-0.064362176,0.022806949,0.063654926,0.102232685,0.184722692,0.001563718
v_ses_subj.106,0.051468431,0.064070664,-0.071051555,0.009210434,0.052434596,0.093462722,0.179525039,0.001564998
v_ses_subj.107,-0.036639369,0.077625218,-0.199564257,-0.086272718,-0.034864111,0.01678892,0.105822693,0.002365631
v_ses_subj.108,0.062896841,0.058790066,-0.051943801,0.024200778,0.062025184,0.103114986,0.18013674,0.001561969
v_ses_subj.109,-0.170592045,0.112224365,-0.392667644,-0.244310315,-0.16889511,-0.09311101,0.032804869,0.004479975
v_ses_subj.110,-0.012633264,0.077709137,-0.173057145,-0.063845729,-0.01294637,0.0390357,0.136368658,0.002518845
v_former_diff:ses,-0.025786437,0.006479211,-0.038366358,-0.029986201,-0.025806183,-0.021356733,-0.012952668,0.000179074
v_former_diff:ses_std,0.02711083,0.007056308,0.01422067,0.022282414,0.027140452,0.031508863,0.041692786,0.000300365
v_former_diff:ses_subj.101,-0.033304927,0.01727918,-0.067884879,-0.044802012,-0.033272784,-0.021836554,0.000852861,0.000437558
v_former_diff:ses_subj.102,-0.035565927,0.017879533,-0.071124518,-0.047865782,-0.035318708,-0.022901659,-0.000595426,0.000536005
v_former_diff:ses_subj.103,-0.026034619,0.019262956,-0.063651864,-0.03887448,-0.025596986,-0.013025123,0.011595638,0.00050097
v_former_diff:ses_subj.105,-0.030341469,0.018660403,-0.067192104,-0.042478602,-0.03004805,-0.017492257,0.00582004,0.000444726
v_former_diff:ses_subj.106,-0.046572184,0.019520551,-0.086734258,-0.059349377,-0.045767355,-0.033379786,-0.009160667,0.000559569
v_former_diff:ses_subj.107,-0.02839794,0.020086345,-0.068456788,-0.041059205,-0.028374681,-0.015528598,0.011115056,0.000509245
v_former_diff:ses_subj.108,0.0032433,0.020020093,-0.033356109,-0.010192452,0.001860066,0.016133883,0.04569709,0.000534805
v_former_diff:ses_subj.109,-0.014402246,0.020708303,-0.05348335,-0.028139977,-0.014983689,-0.001130247,0.028319177,0.000480393
v_former_diff:ses_subj.110,-0.017554788,0.02016258,-0.05733372,-0.030421874,-0.01799501,-0.004547854,0.023870617,0.000497379
v_diff,0.113850087,0.014048058,0.085378151,0.104679771,0.113642506,0.122878587,0.141711707,0.000345048
v_diff_std,0.08061549,0.010869069,0.0618063,0.073241604,0.079558438,0.087321197,0.104101778,0.000288051
v_diff_subj.101,0.265065939,0.02939526,0.207826067,0.246002979,0.265907788,0.285393515,0.323168045,0.000855068
v_diff_subj.102,0.110286511,0.021377099,0.068537214,0.095854143,0.110076302,0.124707472,0.152130226,0.000480101
v_diff_subj.103,0.073847236,0.022130556,0.028959474,0.059088895,0.073947993,0.088516783,0.116034554,0.000525314
v_diff_subj.105,0.199527856,0.028412649,0.144219328,0.180017074,0.199131731,0.218051545,0.256816957,0.000697738
v_diff_subj.106,0.171104463,0.026408437,0.118756948,0.153237055,0.170838531,0.188812464,0.225321372,0.000588432
v_diff_subj.107,0.16857385,0.027189574,0.116800114,0.149943354,0.168189131,0.186698946,0.224439135,0.000642773
v_diff_subj.108,0.133503495,0.022796126,0.089472142,0.118339259,0.133451635,0.149030087,0.178184454,0.000543797
v_diff_subj.109,0.046475963,0.024565691,-0.000440995,0.029285101,0.046813353,0.062651864,0.095717779,0.000535046
v_diff_subj.110,0.125820003,0.02501304,0.076390019,0.108622697,0.125645436,0.143044021,0.176314638,0.00057963
v_diff:ses,0.002460219,0.003270443,-0.003625347,0.00019829,0.002350654,0.004643187,0.008797814,8.59E-05
v_diff:ses_std,0.015627099,0.003290112,0.009856502,0.013411146,0.01537489,0.017725126,0.022772653,8.47E-05
v_diff:ses_subj.101,0.015925179,0.010585973,-0.003236293,0.008520861,0.015724592,0.022714878,0.037865398,0.000271126
v_diff:ses_subj.102,-0.005725675,0.007735402,-0.020827831,-0.010992995,-0.005547398,-0.000372009,0.008629079,0.000175679
v_diff:ses_subj.103,0.006461489,0.008017211,-0.008620504,0.001062364,0.006368287,0.011636499,0.022646564,0.00019184
v_diff:ses_subj.105,-0.008047717,0.009939793,-0.027773435,-0.014605941,-0.007849552,-0.001261325,0.011180241,0.000232503
v_diff:ses_subj.106,-0.002521539,0.009559882,-0.020378063,-0.009142117,-0.002683039,0.003992261,0.016359836,0.000218256
v_diff:ses_subj.107,-0.028898718,0.010113438,-0.049929173,-0.035476684,-0.028448704,-0.022190246,-0.009669271,0.000243202
v_diff:ses_subj.108,-0.011910605,0.008560023,-0.028358404,-0.01769258,-0.012047253,-0.005968958,0.004777817,0.000207147
v_diff:ses_subj.109,-0.00045117,0.009455599,-0.019851019,-0.006387668,-0.000109476,0.005672615,0.017950894,0.000206314
v_diff:ses_subj.110,-0.002978857,0.009054764,-0.02059201,-0.008767754,-0.003010756,0.003027391,0.014394174,0.000192782
