subj,lie,hon,rot,offset,ROI
101,-0.308391649,-0.626970438,26.99096205,0.996619628,lDLPFC
102,-0.726624356,0.540477128,-18.42028137,1.000440135,lDLPFC
103,-0.287158097,0.531787235,-30.8381073,0.996196126,lDLPFC
105,-0.177880781,-0.231197456,8.900746528,0.99613435,lDLPFC
106,-0.451737304,0.495238297,-22.90142893,0.9857815,lDLPFC
107,-0.527520952,-0.002102942,-13.17622369,1.006448504,lDLPFC
108,-0.201022161,0.560414823,-31.7685077,1.002467118,lDLPFC
109,-0.160859959,0.579925957,-20.92046718,0.995834346,lDLPFC
110,-0.227375798,-0.003569615,-24.79752384,0.982883659,lDLPFC
101,-0.328024075,-0.599181971,24.56833463,1.003933874,rDLPFC
102,-0.661198071,0.597405318,-20.85111711,1.006582035,rDLPFC
103,-0.323058864,0.460293238,-28.95301664,0.99248543,rDLPFC
105,-0.250223328,-0.203242602,3.494244293,0.997471118,rDLPFC
106,-0.458033619,0.587815956,-27.1243912,0.989521979,rDLPFC
107,-0.553488636,-0.050298916,-7.987370874,0.99518224,rDLPFC
108,-0.134472002,0.549599025,-26.19870619,0.996150585,rDLPFC
109,-0.163612836,0.572508332,-21.17763685,0.998322533,rDLPFC
110,-0.243774154,0.029125301,-21.47684952,0.997476285,rDLPFC
101,-0.381307632,-0.524141067,18.99015614,1.008056658,ventral_striatum
102,-0.723071559,0.547369724,-18.33362369,0.996158779,ventral_striatum
103,-0.306479604,0.531192928,-31.46814225,0.995586505,ventral_striatum
105,-0.197662808,-0.248520369,8.529412642,0.996703703,ventral_striatum
106,-0.453778723,0.510937806,-22.00283346,0.992638487,ventral_striatum
107,-0.634124276,-0.094182696,-6.228055032,0.994727004,ventral_striatum
108,-0.139288889,0.570531356,-28.34803878,0.996314639,ventral_striatum
109,-0.199417567,0.494107861,-24.99372061,1.000149482,ventral_striatum
110,-0.218005433,0.040695479,-22.77463452,1.002102212,ventral_striatum
101,-0.337160878,-0.669009641,28.90075059,0.98899807,putamen
102,-0.731838516,0.574086873,-24.36430498,0.990712464,putamen
103,-0.279809665,0.527479391,-28.03142791,1.005116182,putamen
105,-0.217095478,-0.262370924,7.981832379,1.001777397,putamen
106,-0.423216033,0.494378688,-18.85096984,0.982504033,putamen
107,-0.526166117,-0.018723712,-8.201099351,0.991091006,putamen
108,-0.171848274,0.590530867,-31.0457686,0.994584421,putamen
109,-0.177820445,0.560638793,-21.11540559,0.99293288,putamen
110,-0.27592224,-0.006837057,-23.08384077,0.992055202,putamen
101,-0.383322567,-0.507490059,18.45276514,0.997974427,rTPJ
102,-0.661567237,0.565075394,-20.75439075,0.99371237,rTPJ
103,-0.43817746,0.675303565,-42.40677304,0.993209704,rTPJ
105,-0.200227781,-0.323176241,11.65803517,1.000353727,rTPJ
106,-0.430386375,0.591965304,-23.78706068,1.00068446,rTPJ
107,-0.570619082,-0.083894396,-7.349419737,0.995081462,rTPJ
108,-0.118964774,0.554296314,-26.91018298,0.994563353,rTPJ
109,-0.179134519,0.527348788,-21.84766425,1.004216406,rTPJ
110,-0.258156506,-0.046954966,-19.09058373,0.999615971,rTPJ
101,-0.340040542,-0.559189074,20.78455757,0.998513055,amyg
102,-0.309060756,-0.039459437,-23.92503179,1.000372865,amyg
103,-0.225046083,0.486271737,-25.97803801,0.995018789,amyg
105,-0.210321607,-0.299114923,9.855067128,0.996875087,amyg
106,-0.75029136,0.224460723,-15.00718785,1.000648206,amyg
107,-0.537078162,-0.000565899,-14.50308311,0.989401008,amyg
108,-0.100321326,0.632606204,-28.07770143,0.995481953,amyg
109,-0.193232983,0.572404197,-21.69091227,0.997922521,amyg
110,0.038228619,0.437939732,-39.93416364,0.993381434,amyg
